,L61,L62,L63,L71,L72,L73,mu31,mu32,mu33,MN,MPsi,Meta,l1,l2,y1,y2,MS1,MS2,MS3,mx1,mx2,mx3,U11,U12,U13,U21,U22,U23,U31,U32,U33,V11,V12,V13,V21,V22,V23,V31,V32,V33,L1,L2,L3,MK,h11,h21,h31,h12,h22,h32,h13,h23,h33,f11,f21,f31,f12,f22,f32,f13,f23,f33,mnu1,mnu2,mnu3,mv1,mv2,mv3
10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,152.29768983447426,842.7454851406519,1068.6533330911916,8311.144489407563,803443.104590879,4.201813758678715e-06,3.610419858379216e-06,1004.98907,1417.74576,10049.8758,152.2977,8310.01103,803444.2640000002,1.0,-7.56660183e-08,7.919514190000001e-11,-7.56660597e-08,-0.999999435,0.00106278769,1.22181576e-12,0.00106278769,0.999999435,1.0,-9.08786559e-10,-1.29439278e-09,-1.29317286e-09,0.00134108292,-0.999999101,9.105216300000001e-10,0.999999101,0.00134108292,5.4968550958916864e-08,5.3924711045715723e-08,4.325729635783901e-08,1000000.0,0.0035271544704668623,0.2399148030734195,0.06418078954942122,0.000274668725100604,0.4871185701229295,0.7687423008473245,0.09328031920526587,0.23768508389779786,0.12399223885256384,0.0,-2.4868302813531228e-05,0.0001576059669832173,0.0,-0.0002830102529772228,0.0005937660630114907,0.0,0.0011787592442844305,0.0017741555478205575,1.0000000000000001e-20,8.470320396990158e-12,5.044725006981962e-11,0.0,9.86053851e-12,5.828591729999999e-11
11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,128.44073802839475,1377.5278610580758,1052.3930889186877,83930.22896415083,359574.6738304342,5.700144562436832e-06,7.838907637720226e-06,1004.98907,1417.74576,10049.8758,128.4407,83924.9345,359580.115,1.0,-1.6261709e-08,6.13126026e-11,-1.62618164e-08,-0.999988604,0.00477412796,1.63235756e-11,0.00477412796,0.999988604,1.0,-2.76001895e-09,2.04138378e-11,3.15669954e-11,0.00404103176,-0.999991835,2.75991393e-09,0.999991835,0.00404103176,1.5938403240412885e-07,1.5936691086011306e-07,1.5759264337927422e-07,1000000.0,0.10338554521706876,0.0009483243631909287,0.0002295869929795982,0.12329011157608134,0.008943605553209834,0.34486512153119153,0.03552135512445952,0.027560585734526584,0.007301588524891478,0.0,7.944200481277328e-05,-0.0028890524963105786,0.0,-0.00013022685102027093,0.0004667124989576301,0.0,0.0011142455733652418,0.008222277120999072,1.0000000000000001e-20,9.007317984613787e-12,5.074242576778425e-11,0.0,6.87140382e-12,3.83310915e-11
12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,135.7914980899621,561.4828594437216,788.2051146680487,35896.38343191217,89565.13752194899,5.780178031758742e-06,0.00027197523026933294,1004.98907,1417.74576,10049.8758,135.7915,35887.9981,89573.7267,1.0,-1.3193306299999995e-06,8.25391765e-09,-1.3193371299999998e-06,-0.999931929,0.0116677761,7.140298590000001e-09,0.0116677761,0.999931929,1.0,-1.11810988e-08,-4.81597001e-09,-4.66487041e-09,0.0134747366,-0.999909212,1.12449776e-08,0.999909212,0.0134747366,7.536274425377702e-06,7.519335762971593e-06,6.886884253235509e-06,1000000.0,0.0249884965095304,0.0005349773057024722,0.0012278437344149429,0.000181116904081397,0.001192164319903184,0.0017781047308829683,0.4912052584208986,0.00010435486425220323,0.07178821818206013,0.0,0.0005123739914677375,0.0009404512437324676,0.0,0.00021811080449761852,0.0036592669503615117,0.0,-2.7060971566621993e-05,-5.1736151165614945e-05,1.0000000000000001e-20,8.731695870183806e-12,4.912835907553492e-11,0.0,8.9641108e-12,4.93487656e-11
13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,142.13612384518646,352.5623541404197,549.8009324605464,115643.14335980867,8743.623586620188,5.046249242383123e-06,0.0006319796501141756,1004.98907,1417.74576,10049.8758,142.1361,8741.79796,115645.082,1.0,-9.516406040000001e-07,3.67494391e-08,-4.15198734e-08,-0.00501333805,0.9999874329999999,9.514444070000001e-07,0.9999874329999999,0.00501333805,1.0,-9.98297904e-08,-8.653024130000001e-10,9.982623800000001e-08,0.9999941259999999,-0.0034276659600000004,1.2074805e-09,0.0034276659600000004,0.9999941259999999,1.5084140811143397e-05,1.5051748058219793e-05,1.3077341144305462e-05,1000000.0,0.0010939548497336693,0.00023738285524341392,0.7719820923040851,0.5095040050430879,0.2390752025017395,0.10828528814276683,0.906576053292879,0.00048661995253792634,0.35943188364630274,0.0,-5.105552968677957e-07,3.911886549786587e-06,0.0,1.3082762621629864e-06,1.0002625753556337e-05,0.0,-4.5382557323664636e-07,-5.8254317698961936e-06,1e-20,8.890698228381294e-12,5.041657157472685e-11,0.0,7.70641572e-12,4.58684795e-11
14,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,125.01940007712228,1214.2176423576784,1645.6093969407248,335795.3503397202,59863.9748395812,1.791425326144515e-06,0.0002925432460585913,1004.98907,1417.74576,10049.8758,125.0194,59856.6778,335802.927,1.0,-1.51693739e-07,3.06593165e-09,-3.93464217e-09,-0.00572707095,0.9999836,1.51673693e-07,0.9999836,0.00572707095,1.0,-5.20261846e-09,-3.766444470000001e-11,5.20238789e-09,0.99998925,-0.004636777,6.17874214e-11,0.004636777,0.99998925,5.3027944416307235e-06,5.302822302625254e-06,5.179794871953508e-06,1000000.0,0.005588898789306979,0.002334041598215587,0.00014408277374149462,0.010581880013495894,0.10875373000168724,0.040994660803007635,0.0003102432589669,0.00037782860035389515,0.5945522106134763,0.0,0.000162513139375736,0.0001537625893515921,0.0,4.151822579815371e-06,5.38299995941317e-05,0.0,-1.9818398141722357e-06,7.892577422024847e-06,1e-20,8.403153536606118e-12,4.9489525794973326e-11,0.0,8.24664952e-12,4.8573571e-11
15,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,194.8103169300579,223.445386857546,426.6795699386029,88011.89662407489,79591.28167707937,2.1560335101870787e-06,0.0001279985132072295,1004.98907,1417.74576,10049.8758,194.8103,79578.8118,88024.4914,1.0,-2.53209919e-07,6.99331864e-10,-1.06051368e-08,-0.0391230344,0.9992344009999999,2.52988702e-07,0.9992344009999999,0.0391230344,1.0,-4.71162638e-09,-5.48506611e-10,4.6874446e-09,0.9992811070000001,-0.0379113434,7.26736379e-10,0.0379113434,0.9992811070000001,1.2891928921175016e-06,1.29188312538849e-06,1.2645729011376287e-06,1000000.0,0.0022485618001164605,0.029395282277224183,0.00018378846365750456,0.0062394855919747465,0.3372087921894662,0.2124123711572666,0.03322714271134563,0.001040960612998247,0.00028241993485531865,0.0,0.0003438615750470085,-0.0005946771436610841,0.0,-1.976043126497428e-05,0.00013031073088744656,0.0,9.130950108702008e-05,0.00018310768359728385,1e-20,8.406260883911702e-12,5.0109514508870823e-11,0.0,7.33588408e-12,4.38354812e-11
16,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,161.72682285956998,203.7805959502544,1801.5500702622546,44961.634401828254,104698.78443538092,5.385160546781939e-06,0.0009556382328951416,1004.98907,1417.74576,10049.8758,161.7268,44949.0697,104719.88900000001,1.0,-3.7008390499999998e-06,7.18966852e-09,-3.70067911e-06,-0.999934558,0.011440283899999999,3.51494512e-08,0.011440283899999999,0.999934558,1.0,-8.715531359999999e-09,-1.32724014e-08,-1.30764178e-08,0.022114289199999998,-0.999755449,9.00690969e-09,0.999755449,0.022114289199999998,3.935453354752941e-05,3.929085934191261e-05,3.670583645418689e-05,1000000.0,0.0022248619853404176,0.05243507228709605,0.00075371260378655,0.0024764872092368447,0.5304233590454541,0.003813938423865138,0.00016368831984235233,0.0002083015314731435,0.0007939498144498706,0.0,8.00416158991072e-05,9.257171836207111e-06,0.0,-7.618002871247902e-06,4.464982805438796e-07,0.0,-0.00025062967608978565,0.0011360504625640981,1e-20,8.926477951007538e-12,5.053503639877597e-11,0.0,9.041287630000001e-12,5.12277903e-11
17,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,166.67946206641503,643.5788733420143,1736.7348855765802,31189.579557975718,58910.876250268986,4.075346472214067e-05,7.76586304603847e-05,1004.98907,1417.74576,10049.8758,166.6795,31141.8925,58965.1987,1.0,-4.3374441499999994e-07,4.39774076e-09,-4.33612993e-07,-0.999324359,0.0367535915,1.15468956e-08,0.0367535915,0.999324359,1.0,-1.20434582e-07,1.67134451e-10,6.05310665e-09,0.0488744333,-0.9988049309999999,1.20282485e-07,0.9988049309999999,0.0488744333,8.198147779630984e-06,8.18694777293089e-06,7.603618740071063e-06,1000000.0,0.04291789939674333,0.9468743315035182,0.002814874747426576,0.0002353855496892436,0.006004801364648078,0.004611778752275233,0.020135037424297324,0.00034397504295200605,0.07129211626731831,0.0,4.0513177122711e-06,2.649470876330635e-06,0.0,-0.000551114532454339,0.0003202304701292944,0.0,2.7357728900047212e-05,3.8803182299132896e-05,1e-20,8.657147978241955e-12,4.983171941962438e-11,0.0,7.69294366e-12,3.7753124799999993e-11
18,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,116.59203623189761,425.5454225611006,1400.728379945482,9354.334260650276,684142.880057908,4.832734356895771e-06,0.00018888317824785548,1004.98907,1417.74576,10049.8758,116.59200000000001,9353.44115,684144.478,1.0,-3.5163948900000002e-06,2.18704714e-09,-3.5163955699999997e-06,-0.9999997890000001,0.000650125626,9.90517513e-11,0.000650125626,0.9999997890000001,1.0,-1.13985795e-09,-4.37763343e-08,-4.37738978e-08,0.00205630425,-0.999997886,1.2298730000000001e-09,0.999997886,0.00205630425,3.228373977331269e-06,3.1912579017609637e-06,2.6447024472697566e-06,1000000.0,0.016861231459155673,0.0040279558674275314,0.03665744321163904,0.0036303781566657187,0.00014551123016391852,0.004130688925835485,0.13911667681671272,0.7635643967194984,0.0001220178671521296,0.0,-0.00017164115026482743,0.0005833908009796962,0.0,0.0011413366123436727,-0.002525181287121932,0.0,3.1248681088750353e-06,1.3102720493603744e-05,1e-20,8.61790785482364e-12,4.912112945521797e-11,0.0,1.03734103e-11,5.866817120000001e-11
19,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,153.9082336807517,362.31287566164804,805.468280915632,224162.2396736029,408717.61427179404,1.7441673027899547e-06,0.0005783662568625222,1004.98907,1417.74576,10049.8758,153.9082,224160.43,408719.525,1.0,-4.49212175e-07,3.97930337e-10,-4.4921151700000003e-07,-0.999996042,0.0028136125899999994,8.65980271e-10,0.0028136125899999994,0.999996042,1.0,-7.42219454e-10,-3.072262930000001e-10,-3.04616363e-10,0.0035138294399999995,-0.999993826,7.43294412e-10,0.999993826,0.0035138294399999995,2.7059877421764838e-06,2.705516534624435e-06,2.686996983116528e-06,1000000.0,0.00938372570596068,0.002818363960213777,0.009229636273130332,0.0019244004104160106,0.0002365513477628003,0.35942019993562635,0.7685681380354279,0.0005731924227407411,0.9489754227002398,0.0,0.0005405101379432795,0.004911908825707354,0.0,-8.840681138175827e-06,5.681198166600549e-05,0.0,-4.209182391443235e-06,-5.6945511923041966e-05,1e-20,8.703338520846305e-12,5.0247855867485476e-11,0.0,9.01744491e-12,5.215597279999999e-11
20,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,118.66050493579027,1175.5922060249973,607.071681179922,109857.44768226793,86990.36003980768,3.066386315881519e-06,4.364817354085545e-05,1004.98907,1417.74576,10049.8758,118.6605,86956.08,109892.501,1.0,-6.91796342e-08,9.26527349e-10,-3.51647486e-09,-0.0374473991,0.9992986,6.90964156e-08,0.9992986,0.0374473991,1.0,-6.13579874e-09,-9.06351391e-12,6.1304403600000005e-09,0.99918628,-0.0403333269,2.5653331499999997e-10,0.0403333269,0.99918628,1.0760837208940085e-06,1.0784933244106313e-06,1.0630138880245532e-06,1000000.0,0.01382047054382336,0.005098396541938315,0.5675622855206948,0.17111599937778796,0.06356819446089232,0.00014968851033119672,0.002506975143847257,0.06806138194664826,0.1063390355663666,0.0,-1.657313022727312e-05,-3.4323298733588474e-05,0.0,2.507178081684485e-05,3.7487221051924075e-05,0.0,3.7636577423220034e-05,0.0004819004359083015,1.0000000000000001e-20,8.566694904875867e-12,5.0694530596781065e-11,0.0,7.65142884e-12,4.2453147e-11
21,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,179.59339984973144,1247.181244152986,483.3533161746792,31358.385378025214,7996.0104986046745,3.2317514699280438e-06,0.0003935294463331545,1004.98907,1417.74576,10049.8758,179.5934,7967.713059999999,31394.0988,1.0,-2.19020785e-06,3.40223406e-07,-3.99807749e-07,-0.027262619100000003,0.999628306,2.18011838e-06,0.999628306,0.027262619100000003,1.0,-6.21173312e-08,-1.0073072e-08,6.15797228e-08,0.998911036,-0.046655570999999986,1.29602223e-08,0.046655570999999986,0.998911036,5.6495420517108874e-05,5.572774208077835e-05,3.808633560859268e-05,1000000.0,0.23447322759746075,0.02196742149990108,0.0003986793247445766,0.0010579907529431152,0.0012485060653087633,0.001107588654020168,0.021543733363344003,0.00017298033230572318,0.0013030694178107185,0.0,5.565860280607796e-06,-4.035301153706115e-06,0.0,-2.324322427173769e-05,0.0005583901832827154,0.0,-8.250800257698895e-05,3.368146506168373e-05,1.0000000000000001e-20,8.569892792102737e-12,5.010209179810792e-11,0.0,9.68749443e-12,4.841211939999999e-11
22,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,141.03515943822882,991.1929937457126,469.348786453778,23791.849673708453,62487.342777337326,3.137665838995322e-06,0.00021054565269938965,1004.98907,1417.74576,10049.8758,141.0352,23778.8621,62501.906,1.0,-1.54126734e-06,2.44285883e-08,-1.54143281e-06,-0.99976048,0.0218856699,9.30893095e-09,0.0218856699,0.99976048,1.0,-8.62120295e-09,-8.77727755e-09,-8.63962956e-09,0.0158385083,-0.999874563,8.75914052e-09,0.999874563,0.0158385083,7.134551030505475e-06,7.103648981123877e-06,6.113682781006362e-06,1000000.0,0.0002761018112910396,0.00031080893975176424,0.008545616393317986,0.21286830073348256,0.060204319225977375,0.11553021341107016,0.2445185327342284,0.0006158795862990313,0.017622542732331416,0.0,-0.00024291477553263984,-0.0005496271490746373,0.0,1.16293362440105e-05,9.244229780740354e-05,0.0,-8.369888282919926e-06,-8.757285134064241e-05,1.0000000000000001e-20,8.862464665131024e-12,5.086669594375033e-11,0.0,8.943872169999997e-12,5.1334170799999996e-11
23,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,122.95074201057292,1988.6439729375759,1863.3130487608303,3531.3549842454863,9069.563951499364,2.968522152315491e-06,1.2308566595586648e-05,1004.98907,1417.74576,10049.8758,122.9507,2927.74091,9673.80136,1.0,-6.85462823e-07,1.49531117e-07,-6.984825329999999e-07,-0.952689619,0.303944881,6.58861727e-08,0.303944881,0.952689619,1.0,-5.66039145e-08,8.01021168e-09,2.43223708e-08,0.294454695,-0.95566544,5.17357604e-08,0.95566544,0.294454695,9.288277723127043e-06,8.830489591927961e-06,4.001042457801033e-06,1000000.0,0.9203789463237916,0.0007664644070459822,0.03205546030817025,0.00039412844229245325,0.027713715012234887,0.07365637822568656,0.007184018823740214,0.0405333379088549,0.00012259268994253183,0.0,4.6407163593758326e-07,3.7763537051057603e-07,0.0,-8.491730467610597e-06,5.314605425883614e-05,0.0,3.7850375050608366e-05,0.00014496358972038381,1.0000000000000001e-20,8.400504935371255e-12,5.0977241679138636e-11,0.0,6.93546445e-12,4.32154389e-11
